Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN
News story,2019-11-25 19:09:43,"The Conversation","'Gay gene' testing apps aren't just misleading – they're dangerous",Australia,"",http://ct.moreover.com/?a=40753578155&p=1pl&v=1&x=kJVIvIsaf7wlTGo0h_0Wcw,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-11-18 12:00:00,"Wired.com","How Earnest Research Into Gay Genetics Went Wrong",United States,"",http://ct.moreover.com/?a=40695692304&p=1pl&v=1&x=3RFHhBax4tEsKAK8N_na7A,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-10-29 08:09:18,"EOSWetenschap","Zijn er oorzaken van homoseksualiteit?",Netherlands,"",http://ct.moreover.com/?a=40539039564&p=1pl&v=1&x=AFgY2dsxnTOCsAtGQ0zXnw,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-10-21 20:16:27,"Refinery29","Miley Cyrus Called Out For LGBTQ+ Comments",United States,"",http://ct.moreover.com/?a=40481181077&p=1pl&v=1&x=H9EJs0JCJFdkkpwlzGtjLw,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-10-20 05:29:00,"Bioedge.org","BioEdge: Scientists slam DTC genetic test for same-sex attraction",United States,"",https://www.bioedge.org/bioethics/scientists-slam-dtc-genetic-test-for-same-sex-attraction/13247,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-10-18 17:54:23,"The Scientist Magazine","Scientists Seek to Kill Genetic Test for Same-Sex Attraction",Canada,"",http://ct.moreover.com/?a=40459355093&p=1pl&v=1&x=i0d8NjZ60gq6cLwwk50hHQ,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-10-18 11:59:53,"NRC Handelsblad","Bedrijf gaat aan de haal  met homogenetica-studie",Netherlands,"",http://ct.moreover.com/?a=40457083684&p=1pl&v=1&x=3FGvMmUpwkl1D86hduWR2g,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-10-17 15:46:29,"Yahoo! News","""On choisit sa sexualité"" : la réponse d'un scientifique à Éric Zemmour",United States,"",http://ct.moreover.com/?a=40464803743&p=1pl&v=1&x=u1POwtdl8e7xc4094FBpMw,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-10-17 14:50:48,"Futurism","Scientists Call For Removal of App Claiming to Detect Gay DNA",United States,"",http://ct.moreover.com/?a=40459921687&p=1pl&v=1&x=KI8WwYkpAUScVMyM-6bf6g,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-10-06 14:03:21,"Focus.it","Il gene gay? Una ricerca dice: ""Non esiste""",Italy,"",http://ct.moreover.com/?a=40361308704&p=1pl&v=1&x=33bIa2apLvTOfDDlGr_Ddw,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-14 07:00:00,"Heise","Was noch zur sexuellen Orientierung gesagt werden muss",Germany,"",http://ct.moreover.com/?a=40187549567&p=1pl&v=1&x=1_3thJF-Tr4PT3BbUAbGJw,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-11 04:17:31,"Medical Health News","Study Confirms Genes Don't Determine Homosexuality",Turkey,"",http://ct.moreover.com/?a=40161916796&p=1pl&v=1&x=x4iD6SX_jDmGjPtSrQthmA,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-10 09:17:26,"Spektrum","Was noch zur sexuellen Orientierung gesagt werden muss  MENSCHEN-BILDER  SciLogs - Wissenschaftsblogs",Germany,"",http://ct.moreover.com/?a=40156382984&p=1pl&v=1&x=P6IRTWOdhtewlUFifbzvMA,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-10 06:00:10,"Yahoo! News Brazil","O que o estudo sobre o suposto 'gene gay' realmente significa para LGBTs",Brazil,"",http://ct.moreover.com/?a=40157668459&p=1pl&v=1&x=zOfX2-4wG1mSsPVFjypx0w,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-09 16:10:48,"Long Room","Study Confirms Genes Don’t Determine Homosexuality",United States,"",http://ct.moreover.com/?a=40149600263&p=1pl&v=1&x=YL2PSqOZmdzrJhB6R6gWew,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-09 08:30:14,"Stat News","",United States,"","","Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-08 17:00:00,"St. Louis Post-Dispatch","Editorial: Study adds insights, but still not the full picture, of same-sex traits",United States,"",http://ct.moreover.com/?a=40142742200&p=1pl&v=1&x=UIZsYoXf4iGcBLwzATAvtg,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-08 12:01:12,"NBC News","Why the search for the so-called 'gay gene' could backfire",United States,"",http://ct.moreover.com/?a=40140919625&p=1pl&v=1&x=AMHz40QLNlEftiralebgUQ,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-07 19:45:25,"Taipei Times","No ‘gay gene,’ but study finds genetic links to sexual behavior<br /> ?????????  ?????????? - Taipei Times",Taiwan,"",http://ct.moreover.com/?a=40136500506&p=1pl&v=1&x=clXQtUvRQsIeNmVcYMHYCQ,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-06 16:18:31,"Breitbart News Network","Activists: Transgenders Are Sexually Unwanted, Government Should End 'Compulsory Heterosexuality'",United States,"",http://ct.moreover.com/?a=40128513432&p=1pl&v=1&x=vfUaeURppM1kP4zTyRfUZQ,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-05 14:00:08,"The Fresh Toast","Gay Gene? No Such Thing According To New Study",United States,"",http://ct.moreover.com/?a=40120195063&p=1pl&v=1&x=J24zzUr4ucxiHhPsbnL1Rg,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-05 00:00:00,"PhillyVoice","Stop calling it a choice: Biological factors drive homosexuality",United States,"",http://ct.moreover.com/?a=40122789691&p=1pl&v=1&x=o5TFYJvnftYn2Lc9MSRw9Q,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-04 19:15:45,"MSN","Forskere: «Genet for homoseksualitet» finnes ikke",United States,"",http://ct.moreover.com/?a=40110988244&p=1pl&v=1&x=Z_1cHWA4PPwatBK-zh2oww,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-04 18:03:00,"ABC Nyheter","«Genet for homoseksualitet» finnes ikke, fastslår forskere",Norway,"",http://ct.moreover.com/?a=40111205503&p=1pl&v=1&x=OjjZsZwS9kLjH8oVPwj8mg,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-04 12:52:47,"MedicalXpress","Stop calling it a choice: Biological factors drive homosexuality",United Kingdom,"",http://ct.moreover.com/?a=40108819000&p=1pl&v=1&x=DYh9cp3a5F3Dk8zUPWpsfw,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
News story,2019-09-04 09:52:39,"The Raw Story","Stop calling it a choice: Biological factors drive homosexuality",United States,"",http://ct.moreover.com/?a=40106816516&p=1pl&v=1&x=h05646-x8_QFyYjMS71aNw,"Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior","Science",,,Article,"06 Biological Sciences; 0604 Genetics","Broad Institute; Harvard University; Institute of Metabolic Science; Karolinska Institute; Massachusetts General Hospital; Metabolomx (United States); NorthShore University HealthSystem; Rigshospitalet; University of Amsterdam; University of Colorado Boulder; University of Gothenburg; University of Miami; University of North Carolina at Chapel Hill; University of Queensland; VU Amsterdam",2019-08-29,7140,https://www.altmetric.com/details/65624745,10.1126/science.aat7693,,,,31467194,,"",,,,,
